,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
75,São José de Ubá,-21.3595365,-41.9389905,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,4,5,2,2,6,5,1,2,0,3,0,4,5,3,4,4,3,1,1,0,0,3,0,2,3,1,7,6,31,21,17,15,17,0,0,185
76,São José do Vale do Rio Preto,-22.1509994,-42.9239986,0,0,0,0,0,0,0,0,4,17,61,38,113,105,78,61,56,44,41,23,7,14,1,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,677
77,São Pedro da Aldeia,-22.8362,-42.1037,0,2,1,0,1,0,0,0,1,2,1,1,1,0,0,1,0,2,1,3,2,1,0,0,2,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,3,3,0,2,2,2,0,1,0,0,0,41
78,São Sebastião do Alto,-21.9568272,-42.134815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Sapucaia,-21.9946569,-42.9137975,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,5,4,0,1,0,1,1,1,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,9,8,8,15,8,2,9,10,100
80,Saquarema,-22.9257974,-42.507633,0,0,0,0,0,0,0,0,4,8,8,20,22,70,78,73,68,72,123,129,76,66,83,64,51,43,27,31,35,37,34,35,23,24,26,18,35,42,29,33,34,30,26,34,23,32,46,77,134,59,1,0,1983
81,Seropédica,-22.7438887,-43.6991998,0,0,1,0,0,0,2,0,1,3,5,1,6,3,2,10,7,11,10,5,6,3,1,3,1,1,5,2,1,0,0,2,2,0,0,0,2,0,1,1,0,0,0,0,1,0,2,3,1,2,0,0,107
82,Silva Jardim,-22.6504534,-42.3919146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
83,Sumidouro,-22.0498059,-42.6742601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
84,Tanguá,-22.7353777,-42.7202272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
85,Teresópolis,-22.4164578,-42.975194,1,0,0,0,0,0,0,0,1,1,1,1,3,0,2,3,3,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25
86,Trajano de Moraes,-22.0637911,-42.0644414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,Três Rios,-22.1167884,-43.2087226,0,0,0,0,0,0,0,0,3,5,9,3,5,3,4,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,43
88,Valença,-22.2461028,-43.6996917,0,1,1,0,1,1,0,1,5,7,12,8,9,15,6,17,27,28,17,8,9,12,7,6,4,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,10,16,6,0,0,244
89,Varre-Sai,-20.9308869,-41.8685772,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,3,0,1,1,0,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1,5,0,0,32
90,Vassouras,-22.4040394,-43.6633853,0,0,0,0,3,5,1,5,38,102,68,66,83,77,60,43,69,62,29,9,11,8,7,4,2,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,768
91,Volta Redonda,-22.5225497,-44.1040128,10,18,9,20,23,23,49,52,132,214,238,294,297,407,378,350,373,337,228,162,141,81,65,44,14,5,10,13,7,6,7,2,3,3,0,2,1,0,2,1,4,1,3,1,6,5,2,15,7,11,2,0,4078
